City,State,Lat,Lon,Population_M,Year,Month,Crime_Type,Cases,Severity,Resolution_Rate,Arrests,Response_Time_Min
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Homicide,13,Medium,0.47,4,42.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Harassment,98,Medium,0.61,49,10.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Theft,228,Critical,0.61,95,32.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Assault,101,Medium,0.41,37,43.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Fraud,139,Medium,0.37,45,38.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Burglary,112,High,0.43,33,17.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Vandalism,80,Low,0.74,43,24.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Robbery,47,Medium,0.7,26,17.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Cybercrime,158,Low,0.71,86,18.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Drug Offense,85,Medium,0.46,33,23.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Homicide,19,High,0.39,5,19.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,5,Harassment,126,Medium,0.55,59,10.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Theft,211,Low,0.37,63,28.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Assault,112,Medium,0.49,49,12.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Fraud,111,Medium,0.51,40,40.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Burglary,96,High,0.63,42,10.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Vandalism,67,Critical,0.52,22,19.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Robbery,75,Low,0.68,32,43.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Cybercrime,141,Low,0.75,74,35.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Drug Offense,87,Low,0.4,22,14.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Homicide,12,Low,0.76,5,26.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,6,Harassment,89,Low,0.68,53,25.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Theft,147,Critical,0.37,39,27.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Assault,110,High,0.61,48,38.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Fraud,174,High,0.66,72,19.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Burglary,104,Medium,0.71,49,32.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Vandalism,71,High,0.43,22,11.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Robbery,51,Critical,0.49,21,27.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Cybercrime,102,High,0.37,32,8.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Drug Offense,92,Low,0.5,40,26.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Homicide,17,Medium,0.4,5,41.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,7,Harassment,90,Medium,0.47,34,9.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Theft,193,High,0.67,81,38.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Assault,74,High,0.56,27,35.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Fraud,161,Medium,0.76,83,16.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Burglary,80,Medium,0.52,29,25.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Vandalism,63,Low,0.55,23,24.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Robbery,71,Low,0.62,35,18.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Cybercrime,128,Critical,0.5,51,39.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Drug Offense,74,Critical,0.62,34,34.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Homicide,14,Medium,0.47,5,28.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,8,Harassment,90,Low,0.73,55,25.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Theft,164,Low,0.77,80,40.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Assault,96,Low,0.5,37,37.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Fraud,160,Critical,0.47,49,26.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Burglary,95,Medium,0.4,29,42.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Vandalism,83,Critical,0.75,55,9.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Robbery,65,Low,0.49,23,43.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Cybercrime,128,Low,0.51,56,38.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Drug Offense,60,Low,0.51,20,28.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Homicide,12,Medium,0.75,7,11.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,9,Harassment,82,Low,0.63,36,17.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Theft,151,Low,0.72,88,23.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Assault,82,Medium,0.58,33,26.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Fraud,150,High,0.71,67,26.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Burglary,79,Low,0.52,25,16.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Vandalism,72,Medium,0.65,29,14.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Robbery,36,Low,0.39,12,41.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Cybercrime,94,Low,0.76,55,21.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Drug Offense,68,Low,0.6,33,27.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Homicide,15,Low,0.61,8,13.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,10,Harassment,90,Medium,0.5,39,26.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Theft,153,High,0.36,46,12.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Assault,65,Medium,0.55,22,19.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Fraud,103,Critical,0.74,59,42.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Burglary,96,Low,0.4,30,20.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Vandalism,43,Critical,0.77,25,30.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Robbery,50,High,0.55,21,16.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Cybercrime,90,Medium,0.45,24,21.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Drug Offense,74,Low,0.72,43,32.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Homicide,15,Low,0.43,5,41.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,11,Harassment,65,High,0.36,14,12.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Theft,134,Low,0.74,72,12.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Assault,59,Low,0.36,15,27.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Fraud,94,Low,0.39,29,22.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Burglary,64,Medium,0.44,19,12.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Vandalism,66,Low,0.76,36,13.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Robbery,50,Medium,0.73,23,37.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Cybercrime,123,Low,0.55,52,17.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Drug Offense,76,Medium,0.72,40,27.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Homicide,10,Low,0.66,5,13.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,12,Harassment,63,Low,0.54,28,16.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Theft,153,High,0.42,38,26.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Assault,63,Low,0.68,34,11.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Fraud,112,High,0.74,49,37.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Burglary,59,Medium,0.61,31,31.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Vandalism,44,Medium,0.46,17,9.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Robbery,41,Medium,0.42,13,33.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Cybercrime,116,High,0.53,39,17.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Drug Offense,60,Low,0.65,24,10.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Homicide,15,High,0.46,4,38.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,1,Harassment,89,Low,0.54,41,8.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Theft,205,Medium,0.43,73,10.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Assault,69,Medium,0.46,27,33.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Fraud,95,Low,0.38,27,14.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Burglary,86,High,0.73,39,20.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Vandalism,58,Low,0.53,22,36.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Robbery,43,Low,0.52,14,31.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Cybercrime,104,High,0.7,48,17.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Drug Offense,78,Medium,0.35,21,22.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Homicide,14,Medium,0.75,8,41.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,2,Harassment,78,Low,0.38,25,13.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Theft,179,Medium,0.7,89,13.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Assault,73,Low,0.48,27,10.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Fraud,159,Medium,0.48,64,13.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Burglary,82,Critical,0.45,30,11.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Vandalism,67,Medium,0.44,20,28.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Robbery,55,Low,0.53,26,19.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Cybercrime,137,Low,0.55,56,30.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Drug Offense,82,High,0.65,44,40.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Homicide,12,High,0.57,4,14.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,3,Harassment,110,Medium,0.38,32,9.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Theft,177,Medium,0.63,72,9.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Assault,88,High,0.69,43,29.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Fraud,151,High,0.56,73,19.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Burglary,82,Low,0.66,47,25.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Vandalism,79,Low,0.57,32,24.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Robbery,46,Medium,0.64,23,35.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Cybercrime,125,High,0.6,64,23.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Drug Offense,87,Low,0.39,29,21.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Homicide,11,Medium,0.75,6,44.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,4,Harassment,128,Medium,0.45,35,18.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Theft,212,High,0.35,62,36.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Assault,98,Low,0.37,30,31.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Fraud,132,Low,0.36,43,39.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Burglary,129,High,0.55,60,15.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Vandalism,82,Low,0.52,36,23.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Robbery,72,Medium,0.48,23,8.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Cybercrime,139,High,0.45,46,44.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Drug Offense,78,Critical,0.71,41,31.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Homicide,12,Medium,0.68,5,9.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,5,Harassment,80,Low,0.45,30,25.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Theft,205,Low,0.48,75,35.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Assault,74,Low,0.63,41,18.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Fraud,136,Medium,0.41,43,44.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Burglary,91,Medium,0.4,27,43.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Vandalism,78,Low,0.48,29,39.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Robbery,58,Medium,0.7,25,43.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Cybercrime,134,Low,0.68,62,13.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Drug Offense,73,Medium,0.39,21,16.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Homicide,16,Low,0.68,9,19.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,6,Harassment,101,Medium,0.67,41,33.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Theft,231,High,0.54,105,28.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Assault,73,Low,0.6,33,37.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Fraud,159,Low,0.52,69,25.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Burglary,87,Critical,0.54,32,26.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Vandalism,67,Low,0.63,35,23.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Robbery,48,Medium,0.52,18,16.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Cybercrime,154,Low,0.37,45,35.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Drug Offense,71,Low,0.6,37,17.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Homicide,16,Low,0.67,7,22.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,7,Harassment,118,Medium,0.44,37,43.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Theft,219,Medium,0.63,89,23.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Assault,102,Low,0.77,67,33.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Fraud,126,Low,0.48,49,23.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Burglary,114,Low,0.7,68,34.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Vandalism,59,Low,0.38,13,35.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Robbery,56,High,0.47,18,41.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Cybercrime,162,Low,0.69,85,8.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Drug Offense,84,Low,0.5,37,35.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Homicide,11,Medium,0.36,3,30.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,8,Harassment,110,Low,0.39,32,22.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Theft,205,Low,0.52,68,26.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Assault,98,Low,0.69,43,40.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Fraud,126,Low,0.69,74,13.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Burglary,72,Low,0.57,36,39.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Vandalism,60,Low,0.61,28,16.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Robbery,55,Critical,0.41,15,39.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Cybercrime,96,Low,0.42,33,12.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Drug Offense,57,Medium,0.68,32,24.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Homicide,17,Low,0.54,6,28.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,9,Harassment,80,Low,0.77,42,26.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Theft,198,Low,0.51,77,10.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Assault,53,Medium,0.51,16,18.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Fraud,128,High,0.57,48,39.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Burglary,70,High,0.42,25,36.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Vandalism,61,Low,0.6,29,28.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Robbery,53,Low,0.53,23,24.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Cybercrime,138,Medium,0.48,57,23.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Drug Offense,69,Medium,0.72,32,40.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Homicide,13,Low,0.49,5,43.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,10,Harassment,91,Low,0.77,42,9.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Theft,151,Medium,0.35,34,11.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Assault,59,Low,0.4,15,21.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Fraud,87,High,0.52,28,32.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Burglary,91,Low,0.35,25,35.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Vandalism,70,Medium,0.61,29,17.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Robbery,34,High,0.59,13,12.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Cybercrime,91,High,0.44,24,22.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Drug Offense,58,Medium,0.59,25,44.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Homicide,14,Low,0.46,4,10.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,11,Harassment,95,High,0.48,39,28.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Theft,126,Medium,0.64,65,43.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Assault,82,Low,0.54,26,23.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Fraud,88,Low,0.7,37,12.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Burglary,84,Medium,0.53,37,16.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Vandalism,47,Medium,0.4,15,42.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Robbery,52,High,0.38,14,41.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Cybercrime,120,Medium,0.63,51,17.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Drug Offense,47,High,0.47,20,8.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Homicide,13,Medium,0.37,3,34.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2020,12,Harassment,90,Medium,0.64,47,22.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Theft,170,Low,0.78,90,24.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Assault,85,High,0.49,25,29.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Fraud,130,Medium,0.46,50,36.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Burglary,107,High,0.64,52,39.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Vandalism,55,Medium,0.69,31,12.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Robbery,46,Critical,0.68,20,25.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Cybercrime,137,High,0.57,49,16.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Drug Offense,53,Low,0.38,16,33.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Homicide,13,High,0.41,3,30.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,1,Harassment,96,Low,0.74,55,30.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Theft,170,Medium,0.38,44,31.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Assault,86,Medium,0.37,22,44.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Fraud,163,High,0.38,38,15.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Burglary,112,Low,0.45,33,35.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Vandalism,70,High,0.38,16,39.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Robbery,43,Medium,0.61,17,17.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Cybercrime,140,Low,0.76,65,14.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Drug Offense,82,Low,0.78,46,10.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Homicide,11,Medium,0.72,5,22.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,2,Harassment,104,Medium,0.66,47,21.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Theft,238,High,0.53,113,14.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Assault,104,High,0.59,49,10.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Fraud,169,Medium,0.6,78,13.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Burglary,122,Medium,0.61,48,31.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Vandalism,64,High,0.36,14,15.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Robbery,56,High,0.35,15,9.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Cybercrime,125,Low,0.42,39,20.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Drug Offense,72,Medium,0.46,29,17.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2021,3,Homicide,20,Low,0.76,9,8.3
